parcel_id,street_number,street_name,apn,first_seen_at,last_drilled_at
100-larkin-pl,100,LARKIN PL,,2026-06-07,2026-06-07
1000-ashland-ave,1000,ASHLAND AVE,4285027001,2026-06-07,2026-06-07
1001-12th-st,1001,12TH ST,4281018024,2026-06-07,2026-06-07
1001-16th-st,1001,16TH ST,4281003021,2026-06-07,2026-06-07
1001-19th-st,1001,19TH ST,4277025072,2026-06-07,2026-06-07
1001-20th-st,1001,20TH ST,4277024050,2026-06-07,2026-06-07
1001-21st-st,1001,21ST ST,,2026-06-07,2026-06-07
1001-25th-st,1001,25TH ST,,2026-06-07,2026-06-07
1001-3rd-st,1001,3RD ST,4292019015,2026-06-07,2026-06-07
1001-centinela-ave,1001,CENTINELA AVE,,2026-06-07,2026-06-07
1001-georgina-ave,1001,GEORGINA AVE,,2026-06-07,2026-06-07
1001-hill-st,1001,HILL ST,4285001006,2026-06-07,2026-06-07
1001-pacific-st,1001,PACIFIC ST,4284014020,2026-06-07,2026-06-07
1001-pearl-st,1001,PEARL ST,4284013022,2026-06-07,2026-06-07
1001-pier-ave,1001,PIER AVE,4285028019,2026-06-07,2026-06-07
1001-pine-st,1001,PINE ST,4284011011,2026-06-07,2026-06-07
1001-washington-ave,1001,WASHINGTON AVE,4281025013,2026-06-07,2026-06-07
1002-12th-st,1002,12TH ST,4281021028,2026-06-07,2026-06-07
1002-14th-st,1002,14TH ST,4281013051,2026-06-07,2026-06-07
1002-17th-st,1002,17TH ST,4281003001,2026-06-07,2026-06-07
1002-20th-st,1002,20TH ST,4277025027,2026-06-07,2026-06-07
1002-22nd-st,1002,22ND ST,,2026-06-07,2026-06-07
1002-4th-st,1002,4TH ST,,2026-06-07,2026-06-07
1002-6th-st,1002,6TH ST,4292011001,2026-06-07,2026-06-07
1002-7th-st,1002,7TH ST,4292006001,2026-06-07,2026-06-07
1002-9th-st,1002,9TH ST,,2026-06-07,2026-06-07
1002-bay-st,1002,BAY ST,4284015001,2026-06-07,2026-06-07
1002-broadway,1002,BROADWAY,,2026-06-07,2026-06-07
1002-california-ave,1002,CALIFORNIA AVE,4281027023,2026-06-07,2026-06-07
1002-franklin-st,1002,FRANKLIN ST,,2026-06-07,2026-06-07
1002-grant-st,1002,GRANT ST,4284014001,2026-06-07,2026-06-07
1002-hill-st,1002,HILL ST,4285012031,2026-06-07,2026-06-07
1002-marine-st,1002,MARINE ST,4285036023,2026-06-07,2026-06-07
1002-montana-ave,1002,MONTANA AVE,4281024024,2026-06-07,2026-06-07
1002-pier-ave,1002,PIER AVE,4285029023,2026-06-07,2026-06-07
1002-washington-ave,1002,WASHINGTON AVE,,2026-06-07,2026-06-07
1003-12th-st,1003,12TH ST,4281018024,2026-06-07,2026-06-07
1003-6th-st,1003,6TH ST,,2026-06-07,2026-06-07
1003-ashland-ave,1003,ASHLAND AVE,4285012014,2026-06-07,2026-06-07
1003-broadway,1003,BROADWAY,4282025015,2026-06-07,2026-06-07
1003-grant-st,1003,GRANT ST,4284015021,2026-06-07,2026-06-07
1003-michigan-ave,1003,MICHIGAN AVE,4283017023,2026-06-07,2026-06-07
1003-washington-ave,1003,WASHINGTON AVE,4281025013,2026-06-07,2026-06-07
1004-10th-st,1004,10TH ST,4281029001,2026-06-07,2026-06-07
1004-hill-st,1004,HILL ST,4285012031,2026-06-07,2026-06-07
1004-michigan-ave,1004,MICHIGAN AVE,4283023017,2026-06-07,2026-06-07
1004-montana-ave,1004,MONTANA AVE,4281024024,2026-06-07,2026-06-07
1004-pier-ave,1004,PIER AVE,,2026-06-07,2026-06-07
1004-pine-st,1004,PINE ST,4284010001,2026-06-07,2026-06-07
1005-5th-st,1005,5TH ST,4292011021,2026-06-07,2026-06-07
1005-ashland-ave,1005,ASHLAND AVE,4285012014,2026-06-07,2026-06-07
